x,name,bio
http://vocab.getty.edu/ulan/500061062,"Export, Valie","Austrian video artist and performance artist, born 1940"
http://vocab.getty.edu/ulan/500061155,"Francis, Linda","American painter and performance artist, born 1943"
http://vocab.getty.edu/ulan/500061162,"Murphy, Serge","Canadian sculptor, photographer, and performance artist, born 1953"
http://vocab.getty.edu/ulan/500061289,Rammellzee,"American graffiti artist, 1960-2010"
http://vocab.getty.edu/ulan/500061710,"Antin, Eleanor","American performance artist, conceptual artist, and photographer, born 1935"
http://vocab.getty.edu/ulan/500062843,"Inoue, Yoko","American performance artist, contemporary"
http://vocab.getty.edu/ulan/500063217,"Alithinos, Dimitris","Greek performance artist, born 1945"
http://vocab.getty.edu/ulan/500063457,"Gunderson, Bruce","American performance artist, born 1948"
http://vocab.getty.edu/ulan/500063613,"Apple, Jacki","American performance and media artist, born 1948"
http://vocab.getty.edu/ulan/500063852,"Fox, Terry","American video artist, installation artist, and sculptor, born 1943-2008"
http://vocab.getty.edu/ulan/500064308,"Hoover, Nan","American photographer, performance artist, and filmmaker, 1931-2008"
http://vocab.getty.edu/ulan/500064388,"Buchan, David","Canadian photographer and performance artist, born 1950"
http://vocab.getty.edu/ulan/500065725,"Shanahan, Sean","British painter, sculptor, and performance artist, active 20th century"
http://vocab.getty.edu/ulan/500066105,"Ross, Monica","English performance artist, 1950-2013"
http://vocab.getty.edu/ulan/500066711,"Foreman, Richard","American performance artist, born 1937"
http://vocab.getty.edu/ulan/500066992,"Caroompas, Carole","American painter and performance artist, born 1946"
http://vocab.getty.edu/ulan/500067630,"Erdély, Miklós","Hungarian architect, sculptor, and conceptual artist, 1928-1986"
http://vocab.getty.edu/ulan/500068086,"Sterbak, Jana","Canadian conceptual artist, born 1955"
http://vocab.getty.edu/ulan/500068274,"Marioni, Tom","American conceptual artist, born 1937"
http://vocab.getty.edu/ulan/500069592,"Sapien, Darryl","American performance artist, born 1950"
